Title,Success
Explosive dissolution and trapping of block copolymer seed crystallites,16.91
Insight into the molecular mechanism behind PEG-mediated stabilization of biofluid lipases,4.86
Meteorological Controls on Local and Regional Volcanic Ash Dispersal,4.86
Overcoming difficulties with equipoise to enable recruitment to a randomised controlled trial of partial ablation vs radical prostatectomy for unilateral localised prostate cancer,3.87
Constant strain accumulation rate between major earthquakes on the North Anatolian Fault,13.91
Tooth loss is a complex measure of oral disease: Determinants and methodological considerations,2.71
A generalised significance test for individual communities in networks,4.86
A tutorial on how not to over-interpret STRUCTURE and ADMIXTURE bar plots,15.91
Response of carbon cycle to drier conditions in the mid-Holocene in central China,15.91
Seed predation by insects across a tropical forest precipitation gradient,2.58
IDPpi: Protein-protein interaction analyses of human intrinsically disordered proteins,4.86
Divergent roles for antigenic drive in the aetiology of primary versus dasatinib-associated CD8+ TCR-Vβ+ expansions,4.86
The effects of cannabidiol on impulsivity and memory during abstinence in cigarette dependent smokers /631/154/53 /631/378/1595/1636 /631/477/2811 article,6.86
A conjectural extension of Hecke’s converse theorem,1.2
Maternal depression during pregnancy and cord blood DNA methylation: findings from the Avon Longitudinal Study of Parents and Children,5.36
The association between BMI and mortality using early adulthood BMI as an instrumental variable for midlife BMI,4.86
Locus Coeruleus as a vigilance centre for active inspiration and expiration in rats,4.86
Non-integumentary melanosomes can bias reconstructions of the colours of fossil vertebrates,12.91
Boat noise impacts risk assessment in a coral reef fish but effects depend on engine type,6.86
Contrasting patterns of prehistoric human diet and subsistence in northernmost Europe,4.86
Hydra Mesoglea Proteome Identifies Thrombospondin as a Conserved Component Active in Head Organizer Restriction,4.86
"Hip and spine bone mineral density are greater in master sprinters, but not endurance runners compared with non-athletic controls",2.74
Polycystic ovary syndrome and autism: A test of the prenatal sex steroid theory,6.36
"In-situ, time resolved monitoring of uranium in BFS:OPC grout. Part 2: Corrosion in water",4.86
Radiological comparison of a FDNPP waste storage site during and after construction,5.5
Antagonistic chemical coupling in self-reconfigurable host–guest protocells,12.91
SNX3-retromer requires an evolutionary conserved MON2:DOPEY2:ATP9A complex to mediate Wntless sorting and Wnt secretion,12.91
Coherent deglacial changes in western Atlantic Ocean circulation,13.91
The silicon cycle impacted by past ice sheets,12.91
"Understanding the role of bitter taste perception in coffee, tea and alcohol consumption through Mendelian randomization",4.86
The Neurocognitive Architecture of Individual Differences in Math Anxiety in Typical Children,4.86
Science-based approach for credible accounting of mitigation in managed forests,6.96
Dinosaur diversification linked with the Carnian Pluvial Episode,16.91
Transporter gene acquisition and innovation in the evolution of Microsporidia intracellular parasites,14.91
Crystallisation in basaltic magmas revealed via in situ 4D synchrotron X-ray microtomography,6.86
Astrocytes modulate brainstem respiratory rhythm-generating circuits and determine exercise capacity,21.91
The reaction of hydroxyl and methylperoxy radicals is not a major source of atmospheric methanol,12.91
"Surface Proximity Effect, Imprint Memory of Ferroelectric Twins, and Tweed in the Paraelectric Phase of BaTiO3",4.86
The Impact of Alkaliphilic Biofilm Formation on the Release and Retention of Carbon Isotopes from Nuclear Reactor Graphite,4.86
High prevalence of virological failure and HIV drug mutations in a first-line cohort of Malawian children,Journal Not Found
Synthesis of global satellite observations of magmatic and volcanic deformation: implications for volcano monitoring & the lateral extent of magmatic domains,Journal Not Found
A hERG mutation E1039X produced a synergistic lesion on i Ks together with KCNQ1-R174C mutation in a LQTS family with three compound mutations,4.86
Evidence that parietal lobe fatty acids may be more profoundly affected in moderate alzheimer’s disease (AD) pathology than in severe AD pathology,3.85
Distinguishing Ewing sarcoma and osteomyelitis using FTIR spectroscopy,4.86
A high-strength silicide phase in a stainless steel alloy designed for wear-resistant applications,14.91
One thousand DNA barcodes of piranhas and pacus reveal geographic structure and unrecognised diversity in the Amazon,7.86
Multi-wavelength emission from a single InGaN/GaN nanorod analyzed by cathodoluminescence hyperspectral imaging,5.86
"A grazing Gomphotherium in Middle Miocene Central Asia, 10 million years prior to the origin of the Elephantidae",4.86
A Late Cretaceous amber biota from central Myanmar,12.91
Prediction of Ewing Sarcoma treatment outcome using attenuated tissue reflection FTIR tissue spectroscopy,4.86
Two-dimensional type-II Dirac fermions in layered oxides,13.91
Plasma adiponectin levels and type 2 diabetes risk: A nested case-control study in a Chinese population and an updated meta-analysis,7.86
"Risk Factors for Avian Influenza H9 Infection of Chickens in Live Bird Retail Stalls of Lahore District, Pakistan 2009-2010",4.86
Evolution of the Kondo lattice and non-Fermi liquid excitations in a heavy-fermion metal,12.91
Fossilized skin reveals coevolution with feathers and metabolism in feathered dinosaurs and early birds,12.91
Genetic analyses favour an ancient and natural origin of elephants on Borneo,5.86
Association of circulating metabolites with healthy diet and risk of cardiovascular disease: Analysis of two cohort studies,4.86
Brain and eyes of Kerygmachela reveal protocerebral ancestry of the panarthropod head,13.91
Formalising recall by genotype as an efficient approach to detailed phenotyping and causal inference,14.91
Direct observation of orbital hybridisation in a cuprate superconductor,14.91
HATRIC-based identification of receptors for orphan ligands,14.91
A Drosophila Model of Essential Tremor,4.86
Efficient production of a mature and functional gamma secretase protease,4.86
Development of a chimeric Zika vaccine using a licensed live-attenuated flavivirus vaccine as backbone,25.91
Lagrangian coherent structure assisted path planning for transoceanic autonomous underwater vehicle missions,5.86
Demographic causes of adult sex ratio variation and their consequences for parental cooperation,12.91
Investigating the origins of eastern Polynesians using genome-wide data from the Leeward Society Isles,6.86
Land-use emissions play a critical role in land-based mitigation for Paris climate targets,12.91
Model evidence for a seasonal bias in Antarctic ice cores,12.91
Towards coordinated regional multi-satellite InSAR volcano observations: results from the Latin America pilot project,Journal Not Found
Circulating metabolic biomarkers of renal function in diabetic and non-diabetic populations,4.86
Autosomal genetic variation is associated with DNA methylation in regions variably escaping X-chromosome inactivation,12.91
Chemical evidence of inter-hemispheric air mass intrusion into the Northern Hemisphere mid-latitudes,4.86
"Habitual coffee consumption and cognitive function: A Mendelian randomization meta-analysis in up to 415,530 participants",7.86
Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes,13.91
Telomerecat: A ploidy-agnostic method for estimating telomere length from whole genome sequencing data,2.5
 Addenbrookes Hospital UK,Journal Not Found
Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots,14.91
Identifying gene targets for brain-related traits using transcriptomic and methylomic data from blood,13.91
Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer,17.91
Fine-mapping of prostate cancer susceptibility loci in a large meta-analysis identifies candidate causal variants,1.5
 H.,Journal Not Found
Identification of multiple risk loci and regulatory mechanisms influencing susceptibility to multiple myeloma,12.91
Large-scale transcriptome-wide association study identifies new prostate cancer risk regions,12.91
Novel pleiotropic risk loci for melanoma and nevus density implicate multiple biological pathways,13.91
Birth size and gestational age in opposite-sex twins as compared to same-sex twins: An individual-based pooled analysis of 21 cohorts,5.86
Mutations in six nephrosis genes delineate a pathogenic pathway amenable to treatment,16.91
Multiethnic meta-analysis identifies ancestry-specific and cross-ancestry loci for pulmonary function,13.91
'Primary care sensitive' situations that result in an ambulance attendance: a conversation analytic study of UK emergency '999' call recordings,3.09
Namaste Care in nursing care homes for people with advanced dementia: protocol for a feasibility randomised controlled trial,3.09
Using neuroimaging to investigate the impact of Mandolean® training in young people with obesity: a pilot randomised controlled trial,3
Chronic non bacterial osteitis- a multicentre study,2.04
Health benefits of electrically-assisted cycling: a systematic review,6.14
Stability of core language skill from infancy to adolescence in typical and atypical development,Journal Not Found
Silicon isotopes of deep sea sponges: New insights into biomineralisation and skeletal structure,4.46
"The causes of the red sequence, the blue cloud, the green valley, and the green mountain",4.04
Employing ray-tracing and least-squares support vector machines for localisation,3.73
"Phosphopantetheinyl transferase (Ppt)-mediated biosynthesis of lysine, but not siderophores or DHN melanin, is required for virulence of Zymoseptoria tritici on wheat",4.86
Synthesis of Functionalized Cyclopropanes from Carboxylic Acids by a Radical Addition–Polar Cyclization Cascade,12.81
Exosomes: Basic biology and technological advancements suggesting their potential as ischemic heart disease therapeutics,4.16
Adverse outcomes after arthroscopic partial meniscectomy: a study of 700 000 procedures in the national Hospital Episode Statistics database for England,10.1
Nicotine & Tobacco Research is Moving to Online-Only Publication,Journal Not Found
Association of diet in nurseries and physical activity with zBMI in 2-4-year olds in England: A cross-sectional study 11 Medical and Health Sciences 1117 Public Health and Health Services,3.16
Considering rain gauge uncertainty using kriging for uncertain data,2.3
"A double-blind, randomized, placebo-controlled trial of a computer-based Interpretation Bias Training for youth with severe irritability: A study protocol",2.67
The population genetics of parasitic nematodes of wild animals,3.79
"""In my day…""- Parents' Views on Children's Physical Activity and Screen Viewing in Relation to Their Own Childhood",Journal Not Found
Microstructure-Stabilized Blue Phase Liquid Crystals,Journal Not Found
A systematic review and synthesis of theories of change of school-based interventions integrating health and academic education as a novel means of preventing violence and substance use among students,4.02
Decision-making for people with dementia and advanced kidney disease: a secondary qualitative analysis of interviews from the Conservative Kidney Management Assessment of Practice Patterns Study,3.09
Exploring structure-property relationships in aromatic polybenzoxazines throughmolecular simulation,Journal Not Found
Testbeam studies of a TORCH prototype detector,2.98
Modelling process induced deformations in 0/90 non-crimp fabrics at the meso-scale,6.09
Evidence into practice: protocol for a new mixed-methods approach to explore the relationship between trials evidence and clinical practice through systematic identification and analysis of articles citing randomised controlled trials,3.09
Gestational diabetes and ultrasound-assessed fetal growth in South Asian and White European women: Findings from a prospective pregnancy cohort 11 Medical and Health Sciences 1114 Paediatrics and Reproductive Medicine,7.82
Exploring the impact of public health teams on alcohol premises licensing in England and Scotland (ExILEnS): Procotol for a mixed methods natural experiment evaluation 11 Medical and Health Sciences 1117 Public Health and Health Services,3.92
Trial of exercise to prevent HypeRtension in young adults (TEPHRA) a randomized controlled trial: Study protocol 11 Medical and Health Sciences 1117 Public Health and Health Services,2.58
"Gestational weight gain charts for different body mass index groups for women in Europe, North America, and Oceania",7.82
Germline variation at 8q24 and prostate cancer risk in men of European ancestry,12.91
CHD3 helicase domain mutations cause a neurodevelopmental syndrome with macrocephaly and impaired speech and language,12.91
Analysis of the public flood risk perception in a flood-prone city: The case of Jingdezhen city in China,2.79
A proposal to explain how the circatidal rhythm of the Arabidopsis thaliana root elongation rate could be mediated by the lunisolar gravitational force: A quantum physical approach,5.39
Peter Barlow's insights and contributions to the study of tidal gravity variations and ultra-weak light emissions in plants,4.39
Contesting Actually Existing Austerity,3.04
Nano-optical photoresponse mapping of superconducting nanowires with enhanced near infrared absorption,3.13
Deriving and understanding the risk of post-transplant recurrence of nephrotic syndrome in the light of current molecular and genetic advances,2.62
Can early warning scores identify deteriorating patients in pre-hospital settings? A systematic review,4.31
Grimstone v Epsom and St Helier University Hospitals NHS Trust: (It's Not) Hip to Be Square,Journal Not Found
An isoperimetric inequality in the plane with a log-convex density,1.47
Evolution of jaw disparity in fishes,3.65
Nonlinear stability analysis of whirl flutter in a rotor-nacelle system,4.83
Women and high cost credit: A gender analysis of the home credit industry in the UK,1.72
Drug use in street sex workers (DUSSK) study protocol: A feasibility and acceptability study of a complex intervention to reduce illicit drug use in drug-dependent female street sex workers,3.09
Impact of OqxR loss of function on the envelope proteome of Klebsiella pneumoniae and susceptibility to antimicrobials,Journal Not Found
Cancer cell adaptation to hypoxia involves a HIF-GPRC5A-YAP axis,9.07
"What are the financial barriers to medical care among the poor, the sick and the disabled in the Special Administrative Region of China?",3.51
Microvascular dysfunction determines infarct characteristics in patients with reperfused ST-segment elevation myocardial infarction: The MICROcirculation in Acute Myocardial Infarction (MICRO-AMI) study,3.51
Early home-life antecedents of children's locus of control,2.71
Informing drinkers: Can current UK alcohol labels be improved?,4.02
What can food-image tasks teach us about anorexia nervosa? A systematic review,1.99
"The impact of Vitamin D supplementation on musculoskeletal health outcomes in children, adolescents, and young adults living with HIV: A systematic review",3.51
"Revision of some damsel-dragonflies (Odonata, Liassophlebiidae and Anglophlebiidae new family) from the Triassic/Jurassic of England and Antarctica",2.27
How to build time-lock encryption,1.59
Combining mirtazapine with SSRIs or SNRIs for treatment-resistant depression: the MIR RCT,Journal Not Found
Holocene lowering of the Laurentide ice sheet affects North Atlantic gyre circulation and climate,8.17
The carnian pluvial episode and the origin of dinosaurs,4.18
Association of Residential Mobility over the Life Course with Nonaffective Psychosis in 1.4 Million Young People in Sweden,8.78
How well do discrete choice experiments predict health choices? A systematic review and meta-analysis of external validity,4.77
Guidance was developed on how to write a plain language summary for diagnostic test accuracy reviews,4.26
Do portable nursing stations within bays of hospital wards reduce the rate of inpatient falls? An interrupted time-series analysis,Journal Not Found
Glucocorticoid receptor exon 1F methylation and the cortisol stress response in health and disease,5.36
The cumulative effect of reporting and citation biases on the apparent efficacy of treatments: The case of depression,6.68
A comparison of two biological markers of recent hepatitis C virus (HCV) infection: implications for the monitoring of interventions and strategies to reduce HCV transmission among people who inject drugs,Journal Not Found
‘Who does this patient belong to?’ boundary work and the re/making of (NSTEMI) heart attack patients,3.22
The Portuguese Rheumatoid Arthritis Impact of Disease (RAID) score and its measurement equivalence in three countries: validation study using Rasch Models,3.02
Trial of intraoperative cell salvage versus transfusion in ovarian cancer (TIC TOC): protocol for a randomised controlled feasibility study,3.09
"The association of multiple anti-hypertensive medication classes with Alzheimer's disease incidence across sex, race, and ethnicity",3.51
Cost-effectiveness of internet-based training for primary care clinicians on antibiotic prescribing for acute respiratory tract infections in Europe,Journal Not Found
Clarifying the Relationships between Microsporidia and Cryptomycota,4.83
Hard rock landforms generate 130 km ice shelf channels through water focusing in basal corrugations,12.91
Post-marital residence patterns show lineage-specific evolution,4.78
Residential air pollution does not modify the positive association between physical activity and lung function in current smokers in the ECRHS study,7.82
Measurement of the time-integrated CP asymmetry in D 0 → KS 0 KS 0 decays,0.5
 C.,Journal Not Found
Measurement of the top quark mass with lepton+jets final states using p p collisions at √s=13TeV,0.5
 Deutsches Elektronen-Synchrotron,Journal Not Found
Measurement of differential cross sections for Z boson production in association with jets in proton-proton collisions at √s=13TeV,0.5
 Deutsches Elektronen-Synchrotron,Journal Not Found
Studies of Bs2∗(5840)0 and B s 1(5830) 0 mesons including the observation of the Bs2∗(5840)0→B0KS0 decay in proton-proton collisions at √s=8TeV,0.5
 A.,Journal Not Found
Search for black holes and sphalerons in high-multiplicity final states in proton-proton collisions at √s=13 TeV,1.5
 O.,Journal Not Found
Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state of two muons and two τ leptons in proton-proton collisions at √s=13 TeV,1.5
 RWTH Aachen University,Journal Not Found
Search for a charged Higgs boson decaying to charm and bottom quarks in proton-proton collisions at √s=8 TeV,0.5
 Germany; Kress,Journal Not Found
Measurements of the differential jet cross section as a function of the jet mass in dijet events from proton-proton collisions at √s=13 TeV,0.5
 O.,Journal Not Found
Searches for pair production of charginos and top squarks in final states with two oppositely charged leptons in proton-proton collisions at √s=13 TeV,0.5
 Germany; Kress,Journal Not Found
Protocol for the IDEAL-2 longitudinal study: Following the experiences of people with dementia and their primary carers to understand what contributes to living well with dementia and enhances active life,3.16
Hess opinions: An interdisciplinary research agenda to explore the unintended consequences of structural flood protection,4.6
Exploring qualitative methods reported in registered trials and their yields (EQUITY): Systematic review,2.67
'Trying to put a square peg into a round hole': A qualitative study of healthcare professionals' views of integrating complementary medicine into primary care for musculoskeletal and mental health comorbidity,3.09
Precision measurement of the structure of the CMS inner tracking system using nuclear interactions,0.5
 III. Physikalisches Institut A,Journal Not Found
Using the National Early Warning Score (NEWS) outside acute hospital settings: a qualitative study of staff experiences in the West of England,3.09
Case report and management approach in idiopathic pulmonary arteries aneurysm,1.81
The Combined Effect of Promoting the Mediterranean Diet and Physical Activity on Metabolic Risk Factors in Adults: A Systematic Review and Meta-Analysis of Randomised Controlled Trials,4.85
"Stability of, and associations between, parent and child locus of control expectancies",3.71
Thermodynamic work cost of quantum estimation protocols,2.24
Open science for nutrition and physical activity research: A new challenge and lots of opportunities for IJBNPA,6.14
Blockade of rostral ventrolateral medulla apelin receptors does not attenuate arterial pressure in SHR and L-NAME-induced hypertensive rats,4.16
Epistemic uncertainties and natural hazard risk assessment - Part 2: What should constitute good practice?,4.93
Integrating trap-neuter-return campaigns into a social framework: Developing long-term positive behavior change toward unowned cats in urban areas,Journal Not Found
Epistemic uncertainties and natural hazard risk assessment - Part 1: A review of different natural hazard areas,3.93
Feasibility of weekly participant-reported data collection in a pragmatic randomised controlled trial in primary care: Experiences from the BATHE trial (Bath Additives for the Treatment of cHildhood Eczema),3.67
Profiles of children's physical activity and sedentary behaviour between age 6 and 9: A latent profile and transition analysis 11 Medical and Health Sciences 1117 Public Health and Health Services,6.14
Iridium-Catalyzed α-Selective Arylation of Styrenes by Dual C−H Functionalization,11.81
Extreme values of CUE characteristic polynomials: A numerical study,2.24
Unicellular Origin of the Animal MicroRNA Machinery,6.76
Airway management in pre-hospital critical care: A review of the evidence for a 'top five' research priority,2.2
Defining the minimally clinically important difference of the SF-36 physical function subscale for paediatric CFS/ME: Triangulation using three different methods,3.06
Young people's awareness of the timing and placement of gambling advertising on traditional and social media platforms: A study of 11-16-year-olds in Australia,3.06
Wave intensity analysis in the internal carotid artery of hypertensive subjects using phase-contrast MR angiography and preliminary assessment of the effect of vessel morphology on wave dynamics,2.89
EcoGEnIE 1.0: Plankton ecology in the cGEnIE Earth system model,4.99
First Observation of the Doubly Charmed Baryon Decay Ξcc + + → Ξc+ π+,1.5
 University of Bristol,Journal Not Found
Dynein-2 intermediate chains play crucial but distinct roles in primary cilia formation and function,7.38
Facial genetics: A brief overview,4.28
Development of a standardised set of metrics for monitoring site performance in multicentre randomised trials: A Delphi study,2.67
Examining subgroup effects by socioeconomic status of public health interventions targeting multiple risk behaviour in adolescence 11 Medical and Health Sciences 1117 Public Health and Health Services,3.16
A soft and shape-adaptive electroadhesive composite gripper with proprioceptive and exteroceptive capabilities,5.66
Robot-Assisted Fracture Surgery: Surgical Requirements and System Design,4.68
Mapping of axial plastic zone for roller bearing overloads using neutron transmission imaging,5.66
Structural basis for isoform-specific kinesin-1 recognition of Y-acidic cargo adaptors,7.38
Dual control of fault intersections on stop-start rupture in the 2016 Central Italy seismic sequence,9.27
Weathering dynamics reflected by the response of riverine uranium isotope disequilibrium to changes in denudation rate,5.27
The regulation of AMPA receptor endocytosis by dynamic protein-protein interactions,4.95
Carbonaceous material export from Siberian permafrost tracked across the Arctic Shelf using Raman spectroscopy,5.34
Psychological Support for Personality (PSP) versus treatment as usual: Study protocol for a feasibility randomized controlled trial of a low intensity intervention for people with personality disorder,2.67
Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state with two b quarks and two τ leptons in proton–proton collisions at s=13TeV,0.5
 III. Physikalisches Institut B,Journal Not Found
Study of jet quenching with isolated-photon+jet correlations in PbPb and pp collisions at sNN=5.02 TeV,1.5
 A.,Journal Not Found
Optimal gut size of small birds and its dependence on environmental and physiological parameters,2.43
Chiral Aniline Synthesis via Stereospecific C(sp3)-C(sp2) Coupling of Boronic Esters with Aryl Hydrazines,6.66
Pseudorapidity and transverse momentum dependence of flow harmonics in p Pb and PbPb collisions,0.5
 Aachen,Journal Not Found
Search for Pair-Produced Resonances Each Decaying into at Least Four Quarks in Proton-Proton Collisions at s =13 TeV,0.5
 III. Physikalisches Institut B,Journal Not Found
OPtimising Treatment for MIld Systolic hypertension in the Elderly (OPTiMISE): protocol for a randomised controlled non-inferiority trial,3.09
Human atrial arrhythmogenesis and sinus bradycardia in KCNQ1 - Linked short QT syndrome: Insights from computational modelling,4.16
Developmental studies provide new insights into the evolution of sense organs in Sabellariidae (Annelida),4.68
Observation of the Z →ψ + - Decay in pp Collisions at s =13 TeV,0.5
 RWTH Aachen University,Journal Not Found
TBXA2R gene variants associated with bleeding,2.25
A two-decade anthropogenic and biogenic isoprene emissions study in a London urban background and a London urban traffic site,2.3
Infection after knee replacement: A qualitative study of impact of periprosthetic knee infection 11 Medical and Health Sciences 1103 Clinical Sciences,2.85
Hazard communication by volcanologists: Part 1 - Framing the case for contextualisation and related quality standards in volcanic hazard assessments,Journal Not Found
Hazard communication by volcanologists: Part 2 - quality standards for volcanic hazard assessments,Journal Not Found
"Identifying individuals with chronic pain after knee replacement: A population-cohort, cluster-analysis of Oxford knee scores in 128,145 patients from the English National Health Service 11 Medical and Health Sciences 1103 Clinical Sciences",2.85
Performance of reconstruction and identification of τ leptons decaying to hadrons and vτ in pp collisions at s=13 TeV,0.5
 A.,Journal Not Found
Plant organelle dynamics: cytoskeletal control and membrane contact sites,7.15
Steroids in paediatric heart surgery: eminence or evidence-based practice?,0.54
BVI-HD: A Video Quality Database for HEVC Compressed and Texture Synthesized Content,5.74
"Online health information and public knowledge, attitudes, and behaviours regarding antibiotics in the UK: Multiple regression analysis of wellcome monitor and eurobarometer data",3.51
Unity As An Epistemic Virtue,1.33
Dysregulation of Mesenchymal Stromal Cell Antioxidant Responses in Progressive Multiple Sclerosis,7.04
Applying graph theory to protein structures: An Atlas of coiled coils,8.34
Effect of glass shape on the pouring accuracy of liquid volume,3.51
Mendelian randomization studies of coffee and caffeine consumption,4.85
Investigating genetic correlations and causal effects between caffeine consumption and sleep behaviours,4.86
Smoking as a risk factor for lung cancer in women and men: A systematic review and meta-analysis,4.09
Use of fall cones to determine Atterberg limits: A review,4.54
Implications of Simulating Global Digital Elevation Models for Flood Inundation Studies,4.89
Nonlinear non-collinear ultrasonic detection and characterisation of kissing bonds,3.86
Randomised controlled trial of the Limit of Detection of Troponin and ECG Discharge (LoDED) strategy versus usual care in adult patients with chest pain attending the emergency department: Study protocol,3.09
Training in experimental design and statistics is essential: Response to Jordan,Journal Not Found
Recommendations on the most suitable quality-of-life measurement instruments for bariatric and body contouring surgery: a systematic review,9.61
Reporting of outcomes in gastric cancer surgery trials: A systematic review,3.09
Structural supercapacitors using a solid resin electrolyte with carbonized electrospun cellulose/carbon nanotube electrodes,4.33
Climate communication for biologists: When a picture can tell a thousand words,Journal Not Found
Buffer-Induced Current Collapse in GaN HEMTs on Highly Resistive Si Substrates,4.2
Trial protocol: A multicentre randomised trial of first-line treatment pathways for newly diagnosed immune thrombocytopenia: Standard steroid treatment versus combined steroid and mycophenolate. the FLIGHT trial,3.09
Estimating an Individual's Probability of Revision Surgery after Knee Replacement: A Comparison of Modeling Approaches Using a National Data Set,3.99
The sizing of small surface-breaking fatigue cracks using ultrasonic arrays,3.86
Volumetric image interpretation in radiology: scroll behavior and cognitive processes,2.68
DNA methylation derived systemic inflammation indices are associated with head and neck cancer development and survival,4.18
Inequalities in Implementation and Different Outcomes During the Growth of Laparoscopic Colorectal Cancer Surgery in England: A National Population-Based Study from 2002 to 2012,2.92
Constraining Conceptual Hydrological Models With Multiple Information Sources,4.89
Defining the optimal cryoprotectant and concentration for cryopreservation of limbal stem cells,2.77
Exploring sensitivity to NMSSM signatures with low missing transverse energy at the LHC,4.74
"Low resting heart rate, sensation seeking and the course of antisocial behaviour across adolescence and young adulthood",5.68
Signal transduction in astrocytes: Localization and release of inorganic polyphosphate,6.5
Modelling of the cathodic and anodic photocurrents from Rhodobacter sphaeroides reaction centres immobilized on titanium dioxide,3.62
Drainage integration and sediment dispersal in active continental rifts: A numerical modelling study of the central Italian Apennines,4.53
Reducing attrition within clinical trials: The communication of retention and withdrawal within patient information leaflets,3.51
Disruption of TWIST1 translation by 5′ UTR variants in Saethre-Chotzen syndrome,5.02
"Gradients of season length and mortality risk cause shifts in body size, reserves and reproductive strategies of determinate growers",6.7
