Title,Total Abstract Length,Perc common English words,Perc common technical words,Perc keywords
Optimized delivery of siRNA into 3D tumor spheroid cultures in situ,259,32.43,16.22,51.35
Bifurcations of Limit Cycles in a Reduced Model of the Xenopus Tadpole Central Pattern Generator,155,37.42,10.32,52.26
Treatment adherence and BMI reduction are key predictors of HbA1c 1 year after diagnosis of childhood type 2 diabetes in the United Kingdom,178,38.76,11.24,50
Spin-orbit interaction of light induced by transverse spin angular momentum engineering,203,32.51,16.75,50.74
Nanostructured titanium surfaces exhibit recalcitrance towards Staphylococcus epidermidis biofilm formation,142,41.55,14.08,44.37
Species replacement dominates megabenthos beta diversity in a remote seamount setting,187,36.36,18.72,44.92
Explosive dissolution and trapping of block copolymer seed crystallites,203,35.96,14.29,49.75
Insight into the molecular mechanism behind PEG-mediated stabilization of biofluid lipases,252,31.75,21.03,47.22
Meteorological Controls on Local and Regional Volcanic Ash Dispersal,154,35.71,17.53,46.75
Overcoming difficulties with equipoise to enable recruitment to a randomised controlled trial of partial ablation vs radical prostatectomy for unilateral localised prostate cancer,334,31.14,14.97,53.89
Constant strain accumulation rate between major earthquakes on the North Anatolian Fault,177,41.81,18.08,40.11
Tooth loss is a complex measure of oral disease: Determinants and methodological considerations,154,44.16,16.23,39.61
A generalised significance test for individual communities in networks,154,33.12,11.04,55.84
A tutorial on how not to over-interpret STRUCTURE and ADMIXTURE bar plots,264,29.55,16.67,53.79
Response of carbon cycle to drier conditions in the mid-Holocene in central China,186,38.71,11.83,49.46
Seed predation by insects across a tropical forest precipitation gradient,157,31.85,8.28,59.87
IDPpi: Protein-protein interaction analyses of human intrinsically disordered proteins,204,32.35,14.22,53.43
Divergent roles for antigenic drive in the aetiology of primary versus dasatinib-associated CD8+ TCR-Vβ+ expansions,63,39.68,14.29,46.03
The effects of cannabidiol on impulsivity and memory during abstinence in cigarette dependent smokers /631/154/53 /631/378/1595/1636 /631/477/2811 article,228,38.6,16.23,45.18
A conjectural extension of Hecke’s converse theorem,185,25.41,10.81,63.78
Maternal depression during pregnancy and cord blood DNA methylation: findings from the Avon Longitudinal Study of Parents and Children,204,36.27,19.12,44.61
The association between BMI and mortality using early adulthood BMI as an instrumental variable for midlife BMI,157,35.67,8.92,55.41
Locus Coeruleus as a vigilance centre for active inspiration and expiration in rats,204,35.78,14.22,50
Non-integumentary melanosomes can bias reconstructions of the colours of fossil vertebrates,204,35.29,7.35,57.35
Boat noise impacts risk assessment in a coral reef fish but effects depend on engine type,204,33.33,8.82,57.84
Contrasting patterns of prehistoric human diet and subsistence in northernmost Europe,315,30.16,15.56,54.29
Hydra Mesoglea Proteome Identifies Thrombospondin as a Conserved Component Active in Head Organizer Restriction,241,33.2,20.33,46.47
"Hip and spine bone mineral density are greater in master sprinters, but not endurance runners compared with non-athletic controls",102,33.33,16.67,50
Polycystic ovary syndrome and autism: A test of the prenatal sex steroid theory,213,37.56,15.96,46.48
"In-situ, time resolved monitoring of uranium in BFS:OPC grout. Part 2: Corrosion in water",153,32.03,12.42,55.56
Radiological comparison of a FDNPP waste storage site during and after construction,148,31.08,8.78,60.14
Antagonistic chemical coupling in self-reconfigurable host–guest protocells,166,36.14,13.86,50
SNX3-retromer requires an evolutionary conserved MON2:DOPEY2:ATP9A complex to mediate Wntless sorting and Wnt secretion,165,33.33,11.52,55.15
Coherent deglacial changes in western Atlantic Ocean circulation,204,30.39,13.73,55.88
The silicon cycle impacted by past ice sheets,204,36.27,22.06,41.67
"Understanding the role of bitter taste perception in coffee, tea and alcohol consumption through Mendelian randomization",412,36.89,18.2,44.9
The Neurocognitive Architecture of Individual Differences in Math Anxiety in Typical Children,162,43.83,10.49,45.68
Science-based approach for credible accounting of mitigation in managed forests,154,37.01,11.04,51.95
Dinosaur diversification linked with the Carnian Pluvial Episode,203,35.47,14.29,50.25
Transporter gene acquisition and innovation in the evolution of Microsporidia intracellular parasites,156,32.05,10.26,57.69
Crystallisation in basaltic magmas revealed via in situ 4D synchrotron X-ray microtomography,136,38.97,12.5,48.53
Astrocytes modulate brainstem respiratory rhythm-generating circuits and determine exercise capacity,146,39.73,8.22,52.05
The reaction of hydroxyl and methylperoxy radicals is not a major source of atmospheric methanol,200,38,12,50
"Surface Proximity Effect, Imprint Memory of Ferroelectric Twins, and Tweed in the Paraelectric Phase of BaTiO3",249,32.93,8.84,58.23
The Impact of Alkaliphilic Biofilm Formation on the Release and Retention of Carbon Isotopes from Nuclear Reactor Graphite,393,37.4,13.99,48.6
High prevalence of virological failure and HIV drug mutations in a first-line cohort of Malawian children,219,36.07,11.42,52.51
Synthesis of global satellite observations of magmatic and volcanic deformation: implications for volcano monitoring & the lateral extent of magmatic domains,271,32.47,13.65,53.87
A hERG mutation E1039X produced a synergistic lesion on i Ks together with KCNQ1-R174C mutation in a LQTS family with three compound mutations,110,33.64,22.73,43.64
Evidence that parietal lobe fatty acids may be more profoundly affected in moderate alzheimer’s disease (AD) pathology than in severe AD pathology,142,36.62,11.27,52.11
Distinguishing Ewing sarcoma and osteomyelitis using FTIR spectroscopy,216,36.11,18.52,45.37
A high-strength silicide phase in a stainless steel alloy designed for wear-resistant applications,193,36.79,11.92,51.3
One thousand DNA barcodes of piranhas and pacus reveal geographic structure and unrecognised diversity in the Amazon,204,34.8,11.27,53.92
Multi-wavelength emission from a single InGaN/GaN nanorod analyzed by cathodoluminescence hyperspectral imaging,156,36.54,8.33,55.13
"A grazing Gomphotherium in Middle Miocene Central Asia, 10 million years prior to the origin of the Elephantidae",117,35.04,14.53,50.43
A Late Cretaceous amber biota from central Myanmar,144,33.33,11.81,54.86
Prediction of Ewing Sarcoma treatment outcome using attenuated tissue reflection FTIR tissue spectroscopy,206,29.61,11.65,58.74
Two-dimensional type-II Dirac fermions in layered oxides,203,31.03,15.76,53.2
Plasma adiponectin levels and type 2 diabetes risk: A nested case-control study in a Chinese population and an updated meta-analysis,150,34.67,14,51.33
"Risk Factors for Avian Influenza H9 Infection of Chickens in Live Bird Retail Stalls of Lahore District, Pakistan 2009-2010",144,34.03,6.94,59.03
Evolution of the Kondo lattice and non-Fermi liquid excitations in a heavy-fermion metal,199,42.21,14.07,43.72
Fossilized skin reveals coevolution with feathers and metabolism in feathered dinosaurs and early birds,202,28.71,12.38,58.91
Genetic analyses favour an ancient and natural origin of elephants on Borneo,140,42.14,10.71,47.14
Association of circulating metabolites with healthy diet and risk of cardiovascular disease: Analysis of two cohort studies,100,37,16,47
Brain and eyes of Kerygmachela reveal protocerebral ancestry of the panarthropod head,140,35,15.71,49.29
Formalising recall by genotype as an efficient approach to detailed phenotyping and causal inference,150,34.67,10.67,54.67
Direct observation of orbital hybridisation in a cuprate superconductor,206,33.5,15.53,50.97
HATRIC-based identification of receptors for orphan ligands,171,37.43,12.87,49.71
A Drosophila Model of Essential Tremor,153,33.33,10.46,56.21
Efficient production of a mature and functional gamma secretase protease,207,34.3,8.21,57.49
Development of a chimeric Zika vaccine using a licensed live-attenuated flavivirus vaccine as backbone,151,30.46,15.89,53.64
Lagrangian coherent structure assisted path planning for transoceanic autonomous underwater vehicle missions,203,35.96,6.9,57.14
Demographic causes of adult sex ratio variation and their consequences for parental cooperation,160,33.12,11.25,55.62
Investigating the origins of eastern Polynesians using genome-wide data from the Leeward Society Isles,140,32.86,15,52.14
Land-use emissions play a critical role in land-based mitigation for Paris climate targets,333,39.34,16.82,43.84
Model evidence for a seasonal bias in Antarctic ice cores,202,33.17,17.33,49.5
Towards coordinated regional multi-satellite InSAR volcano observations: results from the Latin America pilot project,154,34.42,11.04,54.55
Circulating metabolic biomarkers of renal function in diabetic and non-diabetic populations,195,33.85,11.79,54.36
Autosomal genetic variation is associated with DNA methylation in regions variably escaping X-chromosome inactivation,196,30.61,17.86,51.53
Chemical evidence of inter-hemispheric air mass intrusion into the Northern Hemisphere mid-latitudes,156,31.41,10.26,58.33
"Habitual coffee consumption and cognitive function: A Mendelian randomization meta-analysis in up to 415,530 participants",151,30.46,13.91,55.63
Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes,160,32.5,16.25,51.25
Telomerecat: A ploidy-agnostic method for estimating telomere length from whole genome sequencing data,154,29.22,8.44,62.34
 Addenbrookes Hospital UK,128,32.03,15.62,52.34
Nitrogen-rich organic soils under warm well-drained conditions are global nitrous oxide emission hotspots,178,30.34,11.8,57.87
Identifying gene targets for brain-related traits using transcriptomic and methylomic data from blood,152,30.92,13.82,55.26
Targeting stromal remodeling and cancer stem cell plasticity overcomes chemoresistance in triple negative breast cancer,206,38.35,9.71,51.94
Fine-mapping of prostate cancer susceptibility loci in a large meta-analysis identifies candidate causal variants,154,30.52,10.39,59.09
 H.,152,29.61,12.5,57.89
Identification of multiple risk loci and regulatory mechanisms influencing susceptibility to multiple myeloma,310,35.48,20,44.52
Large-scale transcriptome-wide association study identifies new prostate cancer risk regions,315,33.97,17.14,48.89
Novel pleiotropic risk loci for melanoma and nevus density implicate multiple biological pathways,323,32.2,17.34,50.46
Birth size and gestational age in opposite-sex twins as compared to same-sex twins: An individual-based pooled analysis of 21 cohorts,331,37.16,10.57,52.27
Mutations in six nephrosis genes delineate a pathogenic pathway amenable to treatment,251,33.86,22.31,43.82
Multiethnic meta-analysis identifies ancestry-specific and cross-ancestry loci for pulmonary function,143,32.17,11.19,56.64
'Primary care sensitive' situations that result in an ambulance attendance: a conversation analytic study of UK emergency '999' call recordings,178,36.52,12.92,50.56
Namaste Care in nursing care homes for people with advanced dementia: protocol for a feasibility randomised controlled trial,249,41.37,8.84,49.8
Using neuroimaging to investigate the impact of Mandolean® training in young people with obesity: a pilot randomised controlled trial,142,34.51,26.06,39.44
Chronic non bacterial osteitis- a multicentre study,197,36.04,7.61,56.35
Health benefits of electrically-assisted cycling: a systematic review,99,30.3,14.14,55.56
Stability of core language skill from infancy to adolescence in typical and atypical development,190,32.11,8.95,58.95
Silicon isotopes of deep sea sponges: New insights into biomineralisation and skeletal structure,447,30.65,16.33,53.02
"The causes of the red sequence, the blue cloud, the green valley, and the green mountain",316,30.06,15.51,54.43
Employing ray-tracing and least-squares support vector machines for localisation,226,33.19,15.93,50.88
"Phosphopantetheinyl transferase (Ppt)-mediated biosynthesis of lysine, but not siderophores or DHN melanin, is required for virulence of Zymoseptoria tritici on wheat",283,29.33,15.55,55.12
Synthesis of Functionalized Cyclopropanes from Carboxylic Acids by a Radical Addition–Polar Cyclization Cascade,216,38.89,12.04,49.07
Exosomes: Basic biology and technological advancements suggesting their potential as ischemic heart disease therapeutics,206,34.95,13.59,51.46
Adverse outcomes after arthroscopic partial meniscectomy: a study of 700 000 procedures in the national Hospital Episode Statistics database for England,136,36.76,9.56,53.68
Nicotine & Tobacco Research is Moving to Online-Only Publication,296,36.49,18.92,44.59
Association of diet in nurseries and physical activity with zBMI in 2-4-year olds in England: A cross-sectional study 11 Medical and Health Sciences 1117 Public Health and Health Services,304,36.18,18.42,45.39
Considering rain gauge uncertainty using kriging for uncertain data,158,28.48,13.29,58.23
"A double-blind, randomized, placebo-controlled trial of a computer-based Interpretation Bias Training for youth with severe irritability: A study protocol",190,35.79,18.42,45.79
The population genetics of parasitic nematodes of wild animals,217,41.47,13.82,44.7
"""In my day…""- Parents' Views on Children's Physical Activity and Screen Viewing in Relation to Their Own Childhood",313,32.91,24.6,42.49
Microstructure-Stabilized Blue Phase Liquid Crystals,356,27.81,12.64,59.55
A systematic review and synthesis of theories of change of school-based interventions integrating health and academic education as a novel means of preventing violence and substance use among students,354,34.18,20.9,44.92
Decision-making for people with dementia and advanced kidney disease: a secondary qualitative analysis of interviews from the Conservative Kidney Management Assessment of Practice Patterns Study,268,28.73,21.27,50
Exploring structure-property relationships in aromatic polybenzoxazines throughmolecular simulation,351,29.06,11.97,58.97
Testbeam studies of a TORCH prototype detector,150,34.67,13.33,52
Modelling process induced deformations in 0/90 non-crimp fabrics at the meso-scale,150,34.67,12.67,52.67
Evidence into practice: protocol for a new mixed-methods approach to explore the relationship between trials evidence and clinical practice through systematic identification and analysis of articles citing randomised controlled trials,194,35.57,14.43,50
Gestational diabetes and ultrasound-assessed fetal growth in South Asian and White European women: Findings from a prospective pregnancy cohort 11 Medical and Health Sciences 1114 Paediatrics and Reproductive Medicine,251,33.07,17.13,49.8
Exploring the impact of public health teams on alcohol premises licensing in England and Scotland (ExILEnS): Procotol for a mixed methods natural experiment evaluation 11 Medical and Health Sciences 1117 Public Health and Health Services,298,37.58,19.13,43.29
Trial of exercise to prevent HypeRtension in young adults (TEPHRA) a randomized controlled trial: Study protocol 11 Medical and Health Sciences 1117 Public Health and Health Services,214,40.19,10.28,49.53
"Gestational weight gain charts for different body mass index groups for women in Europe, North America, and Oceania",193,24.87,12.95,62.18
Germline variation at 8q24 and prostate cancer risk in men of European ancestry,306,41.5,11.44,47.06
CHD3 helicase domain mutations cause a neurodevelopmental syndrome with macrocephaly and impaired speech and language,257,38.52,19.84,41.63
Analysis of the public flood risk perception in a flood-prone city: The case of Jingdezhen city in China,95,31.58,7.37,61.05
A proposal to explain how the circatidal rhythm of the Arabidopsis thaliana root elongation rate could be mediated by the lunisolar gravitational force: A quantum physical approach,111,32.43,12.61,54.95
Peter Barlow's insights and contributions to the study of tidal gravity variations and ultra-weak light emissions in plants,231,37.23,11.69,51.08
Contesting Actually Existing Austerity,231,38.96,15.58,45.45
Nano-optical photoresponse mapping of superconducting nanowires with enhanced near infrared absorption,317,32.49,18.93,48.58
Deriving and understanding the risk of post-transplant recurrence of nephrotic syndrome in the light of current molecular and genetic advances,218,30.28,12.39,57.34
Can early warning scores identify deteriorating patients in pre-hospital settings? A systematic review,190,34.21,12.11,53.68
Grimstone v Epsom and St Helier University Hospitals NHS Trust: (It's Not) Hip to Be Square,292,39.38,16.1,44.52
An isoperimetric inequality in the plane with a log-convex density,308,30.84,13.31,55.84
Evolution of jaw disparity in fishes,299,39.46,15.38,45.15
Nonlinear stability analysis of whirl flutter in a rotor-nacelle system,232,32.76,17.24,50
Women and high cost credit: A gender analysis of the home credit industry in the UK,178,35.96,23.03,41.01
Drug use in street sex workers (DUSSK) study protocol: A feasibility and acceptability study of a complex intervention to reduce illicit drug use in drug-dependent female street sex workers,296,27.36,18.92,53.72
Impact of OqxR loss of function on the envelope proteome of Klebsiella pneumoniae and susceptibility to antimicrobials,264,34.09,12.12,53.79
Cancer cell adaptation to hypoxia involves a HIF-GPRC5A-YAP axis,162,41.36,16.67,41.98
"What are the financial barriers to medical care among the poor, the sick and the disabled in the Special Administrative Region of China?",574,32.93,16.2,50.87
Microvascular dysfunction determines infarct characteristics in patients with reperfused ST-segment elevation myocardial infarction: The MICROcirculation in Acute Myocardial Infarction (MICRO-AMI) study,262,38.93,9.92,51.15
Early home-life antecedents of children's locus of control,185,43.78,8.65,47.57
Informing drinkers: Can current UK alcohol labels be improved?,435,32.41,16.32,51.26
What can food-image tasks teach us about anorexia nervosa? A systematic review,170,34.71,17.65,47.65
"The impact of Vitamin D supplementation on musculoskeletal health outcomes in children, adolescents, and young adults living with HIV: A systematic review",124,39.52,29.84,30.65
"Revision of some damsel-dragonflies (Odonata, Liassophlebiidae and Anglophlebiidae new family) from the Triassic/Jurassic of England and Antarctica",249,24.9,18.07,57.03
How to build time-lock encryption,236,38.98,15.68,45.34
Combining mirtazapine with SSRIs or SNRIs for treatment-resistant depression: the MIR RCT,118,34.75,22.03,43.22
Holocene lowering of the Laurentide ice sheet affects North Atlantic gyre circulation and climate,239,30.96,15.06,53.97
The carnian pluvial episode and the origin of dinosaurs,230,38.26,12.17,49.57
Association of Residential Mobility over the Life Course with Nonaffective Psychosis in 1.4 Million Young People in Sweden,258,34.5,18.6,46.9
How well do discrete choice experiments predict health choices? A systematic review and meta-analysis of external validity,304,36.18,11.18,52.63
Guidance was developed on how to write a plain language summary for diagnostic test accuracy reviews,325,32.92,14.77,52.31
Do portable nursing stations within bays of hospital wards reduce the rate of inpatient falls? An interrupted time-series analysis,244,36.07,15.98,47.95
Glucocorticoid receptor exon 1F methylation and the cortisol stress response in health and disease,219,39.27,14.16,46.58
The cumulative effect of reporting and citation biases on the apparent efficacy of treatments: The case of depression,150,35.33,7.33,57.33
A comparison of two biological markers of recent hepatitis C virus (HCV) infection: implications for the monitoring of interventions and strategies to reduce HCV transmission among people who inject drugs,173,31.21,17.92,50.87
‘Who does this patient belong to?’ boundary work and the re/making of (NSTEMI) heart attack patients,278,24.82,17.63,57.55
The Portuguese Rheumatoid Arthritis Impact of Disease (RAID) score and its measurement equivalence in three countries: validation study using Rasch Models,348,42.53,22.99,34.48
Trial of intraoperative cell salvage versus transfusion in ovarian cancer (TIC TOC): protocol for a randomised controlled feasibility study,149,40.94,19.46,39.6
"The association of multiple anti-hypertensive medication classes with Alzheimer's disease incidence across sex, race, and ethnicity",444,36.71,20.95,42.34
Cost-effectiveness of internet-based training for primary care clinicians on antibiotic prescribing for acute respiratory tract infections in Europe,353,33.14,16.15,50.71
Clarifying the Relationships between Microsporidia and Cryptomycota,305,31.8,16.07,52.13
Hard rock landforms generate 130 km ice shelf channels through water focusing in basal corrugations,192,32.81,13.54,53.65
Post-marital residence patterns show lineage-specific evolution,415,28.67,17.35,53.98
Residential air pollution does not modify the positive association between physical activity and lung function in current smokers in the ECRHS study,314,39.17,16.88,43.95
Measurement of the time-integrated CP asymmetry in D 0 → KS 0 KS 0 decays,138,39.86,20.29,39.86
 C.,100,40,26,34
Measurement of the top quark mass with lepton+jets final states using p p collisions at √s=13TeV,252,35.71,12.3,51.98
 Deutsches Elektronen-Synchrotron,290,40,15.17,44.83
Measurement of differential cross sections for Z boson production in association with jets in proton-proton collisions at √s=13TeV,275,34.18,19.27,46.55
 Deutsches Elektronen-Synchrotron,286,44.41,12.24,43.36
Studies of Bs2∗(5840)0 and B s 1(5830) 0 mesons including the observation of the Bs2∗(5840)0→B0KS0 decay in proton-proton collisions at √s=8TeV,363,35.54,17.08,47.38
 A.,352,38.07,21.31,40.62
Search for black holes and sphalerons in high-multiplicity final states in proton-proton collisions at √s=13 TeV,37,24.32,10.81,64.86
 O.,155,39.35,20,40.65
Search for an exotic decay of the Higgs boson to a pair of light pseudoscalars in the final state of two muons and two τ leptons in proton-proton collisions at √s=13 TeV,272,40.81,9.19,50
 RWTH Aachen University,66,40.91,19.7,39.39
Search for a charged Higgs boson decaying to charm and bottom quarks in proton-proton collisions at √s=8 TeV,381,36.48,17.59,45.93
 Germany; Kress,330,32.73,13.64,53.64
Measurements of the differential jet cross section as a function of the jet mass in dijet events from proton-proton collisions at √s=13 TeV,273,35.9,12.82,51.28
 O.,247,36.44,14.98,48.58
Searches for pair production of charginos and top squarks in final states with two oppositely charged leptons in proton-proton collisions at √s=13 TeV,166,31.93,13.86,54.22
 Germany; Kress,256,38.67,14.45,46.88
Protocol for the IDEAL-2 longitudinal study: Following the experiences of people with dementia and their primary carers to understand what contributes to living well with dementia and enhances active life,344,34.88,19.48,45.64
Hess opinions: An interdisciplinary research agenda to explore the unintended consequences of structural flood protection,359,32.59,22.01,45.4
Exploring qualitative methods reported in registered trials and their yields (EQUITY): Systematic review,199,35.68,9.55,54.77
'Trying to put a square peg into a round hole': A qualitative study of healthcare professionals' views of integrating complementary medicine into primary care for musculoskeletal and mental health comorbidity,219,41.1,22.37,36.53
Precision measurement of the structure of the CMS inner tracking system using nuclear interactions,166,30.72,13.25,56.02
 III. Physikalisches Institut A,150,36,12,52
Using the National Early Warning Score (NEWS) outside acute hospital settings: a qualitative study of staff experiences in the West of England,192,40.1,19.27,40.62
Case report and management approach in idiopathic pulmonary arteries aneurysm,410,38.29,11.46,50.24
The Combined Effect of Promoting the Mediterranean Diet and Physical Activity on Metabolic Risk Factors in Adults: A Systematic Review and Meta-Analysis of Randomised Controlled Trials,182,36.26,8.24,55.49
"Stability of, and associations between, parent and child locus of control expectancies",266,37.22,12.03,50.75
Thermodynamic work cost of quantum estimation protocols,473,37.63,18.18,44.19
Open science for nutrition and physical activity research: A new challenge and lots of opportunities for IJBNPA,230,41.74,7.83,50.43
Blockade of rostral ventrolateral medulla apelin receptors does not attenuate arterial pressure in SHR and L-NAME-induced hypertensive rats,69,33.33,7.25,59.42
Epistemic uncertainties and natural hazard risk assessment - Part 2: What should constitute good practice?,332,35.54,16.27,48.19
Integrating trap-neuter-return campaigns into a social framework: Developing long-term positive behavior change toward unowned cats in urban areas,295,30.85,12.54,56.61
Epistemic uncertainties and natural hazard risk assessment - Part 1: A review of different natural hazard areas,345,39.13,12.75,48.12
Feasibility of weekly participant-reported data collection in a pragmatic randomised controlled trial in primary care: Experiences from the BATHE trial (Bath Additives for the Treatment of cHildhood Eczema),137,37.23,18.25,44.53
Profiles of children's physical activity and sedentary behaviour between age 6 and 9: A latent profile and transition analysis 11 Medical and Health Sciences 1117 Public Health and Health Services,257,33.07,11.67,55.25
Iridium-Catalyzed α-Selective Arylation of Styrenes by Dual C−H Functionalization,281,35.94,17.44,46.62
Extreme values of CUE characteristic polynomials: A numerical study,365,38.36,12.88,48.77
Unicellular Origin of the Animal MicroRNA Machinery,466,39.48,11.16,49.36
Airway management in pre-hospital critical care: A review of the evidence for a 'top five' research priority,250,36.4,15.2,48.4
Defining the minimally clinically important difference of the SF-36 physical function subscale for paediatric CFS/ME: Triangulation using three different methods,146,36.3,19.18,44.52
Young people's awareness of the timing and placement of gambling advertising on traditional and social media platforms: A study of 11-16-year-olds in Australia,119,38.66,14.29,47.06
Wave intensity analysis in the internal carotid artery of hypertensive subjects using phase-contrast MR angiography and preliminary assessment of the effect of vessel morphology on wave dynamics,182,35.16,17.58,47.25
EcoGEnIE 1.0: Plankton ecology in the cGEnIE Earth system model,336,42.26,17.26,40.48
First Observation of the Doubly Charmed Baryon Decay Ξcc + + → Ξc+ π+,175,41.14,14.29,44.57
 University of Bristol,270,33.33,15.56,51.11
Dynein-2 intermediate chains play crucial but distinct roles in primary cilia formation and function,220,34.09,15.45,50.45
Facial genetics: A brief overview,308,34.09,17.21,48.7
Development of a standardised set of metrics for monitoring site performance in multicentre randomised trials: A Delphi study,208,33.17,17.31,49.52
Examining subgroup effects by socioeconomic status of public health interventions targeting multiple risk behaviour in adolescence 11 Medical and Health Sciences 1117 Public Health and Health Services,299,28.43,16.05,55.52
A soft and shape-adaptive electroadhesive composite gripper with proprioceptive and exteroceptive capabilities,275,28.73,18.18,53.09
Robot-Assisted Fracture Surgery: Surgical Requirements and System Design,148,36.49,12.84,50.68
Mapping of axial plastic zone for roller bearing overloads using neutron transmission imaging,214,35.51,13.08,51.4
Structural basis for isoform-specific kinesin-1 recognition of Y-acidic cargo adaptors,214,39.72,18.69,41.59
Dual control of fault intersections on stop-start rupture in the 2016 Central Italy seismic sequence,244,30.74,21.72,47.54
Weathering dynamics reflected by the response of riverine uranium isotope disequilibrium to changes in denudation rate,37,40.54,18.92,40.54
